,EAN Code,TV Model,PVP,TVs
2271,8806098293957.0,24TL510S-PZ.AEU,131.76,True
2272,8806098293957.0,24TL510S-PZ.AEU,131.76,True
2273,8806098338764.0,27MK600M-W.AEU,5.0,True
2274,8806098293957.0,24TL510S-PZ.AEU,157.0,True
2275,8806098386468.0,65UM7400PLB.AEU,1196.4,True
2276,8806098386468.0,65UM7400PLB.AEU,1196.4,True
2277,8806098387137.0,55UM7400PLB.AEU,389.74,True
2278,8806098387137.0,55UM7400PLB.AEU,399.74,True
2279,8806098424573.0,55SM9010PLA.AEU,1118.02,True
2280,8806098532537.0,24TL510S-WZ.AEU,131.74,True
2281,8806098386161.0,70UM7450PLA.AEU,735.02,True
2282,8806098387069.0,55UM7450PLA.AEU,490.81,True
2283,8806098383269.0,49SM9000PLA.AEU,662.67,True
2284,8806098383771.0,55SM8600PLA.AEU,608.52,True
2285,8806098387632.0,50UM7450PLA.AEU,377.56,True
2286,8806098408023.0,24TL510V-WZ.AEU,99.11,True
