,Unnamed: 0,Model,Price,day
20,20,"LG 65UN85006LA 65"" LED UltraHD 4K",879,11
21,21,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979,11
22,22,"LG 65UM7510PLA 65"" LED UltraHD 4K Reacondicionado","585,50",11
23,23,"LG 65SM8200PLA 65"" LED UltraHD 4K",799,11
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,12
1,1,"LG 65UM7510PLA 65"" LED UltraHD 4K","629,99",12
2,2,"LG 65UN71003LB 65"" LED UltraHD 4K",599,12
3,3,"LG 65UN71006LB 65"" LED UltraHD 4K",639,12
4,4,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,12
5,5,"LG 65UN80006LA 65"" LED UltraHD 4K",699,12
6,6,"Philips 65PUS8535 65"" LED UltraHD 4K",819-859,12
7,7,"LG 65UN73006LA 65"" LED UltraHD 4K","679-749,99",12
8,8,"LG 60UN71006LB 60"" LED UltraHD 4K",579,12
9,9,65NANO866NA Reacondicionado,"1042,50",12
10,10,"LG 65UM7400PLB 65"" LED UltraHD 4K",699,12
11,11,65NANO866NA,"1098,99",12
12,12,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K","1278,70",12
13,13,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,12
14,14,"LG 65UN80003LA 65"" LED UltraHD 4K",649,12
15,15,"LG 65UN85003LA 65"" LED UltraHD 4K",799,12
16,16,"LG 65UN85006LA 65"" LED UltraHD 4K",879,12
17,17,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K","987,20",12
18,18,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","743,83",12
19,19,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",12
20,20,"LG 65UM7000PLA 65"" LED UltraHD 4K","701,82",12
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,13
1,1,"LG 65UN71003LB 65"" LED UltraHD 4K",599,13
2,2,"LG 65UM7510PLA 65"" LED UltraHD 4K","629,99",13
3,3,"LG 65UN71006LB 65"" LED UltraHD 4K",639,13
4,4,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,13
5,5,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","659,99",13
6,6,"LG 65UN80006LA 65"" LED UltraHD 4K",699,13
7,7,"LG 65UN73006LA 65"" LED UltraHD 4K","679-749,99",13
8,8,"Philips 65PUS8535 65"" LED UltraHD 4K",819-859,13
9,9,"LG 60UN71006LB 60"" LED UltraHD 4K",579,13
10,10,65NANO866NA Reacondicionado,"1042,50",13
11,11,65NANO866NA,"1098,99",13
12,12,"LG 65UM7400PLB 65"" LED UltraHD 4K",699,13
13,13,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850,13
14,14,"LG 65UN80003LA 65"" LED UltraHD 4K",649,13
15,15,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,13
16,16,"LG 65UN85003LA 65"" LED UltraHD 4K",799,13
17,17,"LG 65UN85006LA 65"" LED UltraHD 4K",869,13
18,18,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K","986,69",13
19,19,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","743,83",13
20,20,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",13
21,21,"LG 65UM7000PLA 65"" LED UltraHD 4K","676,99",13
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,14
1,1,"LG 65UN71003LB 65"" LED UltraHD 4K",599,14
2,2,"LG 65UM7510PLA 65"" LED UltraHD 4K","629,99",14
3,3,"LG 65UN71006LB 65"" LED UltraHD 4K",639,14
4,4,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","659,99",14
5,5,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,14
6,6,"LG 65UN80006LA 65"" LED UltraHD 4K",699,14
7,7,"LG 65UN73006LA 65"" LED UltraHD 4K","679-749,99",14
8,8,"Philips 65PUS8535 65"" LED UltraHD 4K",819-859,14
9,9,"LG 60UN71006LB 60"" LED UltraHD 4K",579,14
10,10,"LG 65UN80003LA 65"" LED UltraHD 4K",649,14
11,11,65NANO866NA Reacondicionado,"1042,50",14
12,12,65NANO866NA,"1098,99",14
13,13,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,14
14,14,"LG 65UM7400PLB 65"" LED UltraHD 4K",699,14
15,15,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K",850,14
16,16,"LG 65UN85003LA 65"" LED UltraHD 4K",799,14
17,17,"LG 65UN85006LA 65"" LED UltraHD 4K",869,14
18,18,"LG 65UM7050 65"" LED UltraHD 4K Reacondicionado","521,05",14
19,19,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","743,83",14
20,20,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K","809,01",14
21,21,"LG 65SM8500PLA 65"" LED NanoCell UltraHD 4K","2173,92",14
22,22,"LG 60UN71006LB 60"" LED UltraHD 4K Reacondicionado","539,10",14
23,23,"LG 65UM7000PLA 65"" LED UltraHD 4K","676,99",14
